,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
216,louis153,251,1086,174,1289,253,970,FR
217,parinitagal,412,1125,360,1261,107,861,MY
218,tamara8,296,1118,1711,1588,295,881,UA
219,resilientfox,827,1108,854,1297,218,1117,NG
220,mikolaj_ch,420,1138,538,1315,352,1335,PL
221,vesperious,305,1116,556,1311,404,1313,HR
222,keshavsonar,511,1188,709,1229,434,1064,IN
223,lightyagami1729,236,1088,168,1216,763,1020,IN
224,arthav_1,256,1041,109,1117,137,1017,NO
225,theronimtnediser,450,1182,1102,1571,847,1376,UK
226,kesitnarf,841,1092,146,1339,187,963,GB
227,luckyboy01,221,1117,138,1300,270,1145,OM
228,soumyajitroy,223,1182,137,1210,1065,1355,IN
229,joaoschimith,287,1011,339,1269,245,1043,NG
230,savva-luchkin,123,1156,1253,1428,129,1187,RU
231,vortexxkrill,173,1098,352,1339,191,1058,US
232,sivaskandan,281,1114,381,800,158,1036,IN
233,oxymoerion,816,1166,152,1375,1264,1218,AL
234,mercyseat,349,1033,418,1163,1430,1274,IE
235,ayushgupta123,249,1071,199,1447,115,890,IN
236,iscar379,139,1097,637,1259,418,1128,US
237,renmn2ys,186,1111,282,1452,150,1059,PH
238,konstantinos6,250,1074,262,1006,241,1043,GR
239,danielidfsoldier,821,1191,287,1414,298,1144,IL
240,wasilowski04,394,1192,377,1133,190,981,PL
241,rishabha,483,1200,893,1443,742,1438,UK
242,vv77620,279,1178,110,1175,475,1245,US
243,asish_ghosh,433,1154,123,1217,305,882,IN
244,randomphantom13,156,1098,478,1534,588,1235,PH
245,majinnox,2248,1145,222,1443,1219,855,IN
246,jorgecanomartin,819,1043,118,1103,1294,1274,ES
247,radhacharan2010,161,1140,578,1343,425,1190,US
248,yazh2020,403,1038,848,1232,357,1173,IN
249,theoverlord420,572,1094,118,1075,224,990,UK
250,sayan05,138,1176,593,1550,112,746,IN
251,pranamya_prachi,256,1019,1545,1332,293,1031,JE
252,laurentiudumitru,250,1188,2356,1388,1847,1038,RO
253,chesskinganurag,2861,1177,1270,1492,1125,988,IN
254,hemantahir,1150,1174,1239,1483,1192,1139,IN
255,geilias99,103,1055,124,1274,243,943,AT
256,ossaaama,1063,1197,329,1358,221,934,MA
257,robertgixon,487,1126,125,1255,664,1054,AE
258,bal7878,2057,1197,116,1450,498,1023,IN
259,jimharwood,4098,1182,774,1352,330,1101,CA
260,milespeppa,284,1100,370,1271,159,911,US
261,freddychess100,185,1031,275,1135,109,920,IN
262,trithyne,416,1169,148,1342,278,1304,GB
263,tnyquist,151,1098,1513,1693,106,1075,IN
264,arsen_ismanov,1242,1165,330,1223,242,1084,KZ
265,luminous104,164,1092,244,1214,320,1107,BD
266,bucky7777777777,187,1118,402,1451,804,1230,IN
267,kh1234aaryan,160,1144,650,1437,136,1147,IN
268,nil_0-omm,167,1026,160,1133,185,1106,IN
269,arsen1c,420,1199,943,1667,163,1132,IN
270,stefanadrian,348,1047,413,1315,280,937,RO
271,luukasa,702,1182,120,1242,555,1187,FI
272,sashwinakashsk,135,1136,144,1171,101,817,IN
273,letikol,436,1200,149,1237,449,1097,US
