,gameid,white_id,white_rating,white_country,white_games,white_win_last_10,white_inaccuracies,white_mistakes,white_blunder,white_acpl,black_id,black_rating,black_country,black_games,black_win_last_10,black_inaccuracies,black_mistakes,black_blunder,black_acpl,game_type,opening,winner,win_by
2200,sYgnwDNo,pujari12345,1591,IN,467.0,3,1,4,4,115,santana_luis,2292,MX,30904.0,10,6,0,2,72,bullet,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",black,mate
2201,4yYuGlg7,pujari12345,1590,IN,750.0,5,0,0,1,63,bambang_sutrisno,1590,ID,3905.0,5,0,0,0,9,blitz,Philidor Defense,black,resign
2202,gs1azCtT,pujari12345,1575,IN,750.0,2,1,0,2,65,tejachess,2123,IN,9935.0,7,3,1,1,25,blitz,Sicilian Defense: Hyperaccelerated Fianchetto,black,mate
2203,2roSuwVh,pujari12345,1621,IN,750.0,3,2,2,0,23,radensantos,2132,ID,1827.0,4,3,1,1,52,blitz,Scandinavian Defense: Mieses-Kotroc Variation,white,mate
2204,X1TFQLTM,pujari12345,1664,IN,156.0,3,1,3,2,59,arrebocak,1688,TR,213.0,1,3,2,0,38,rapid,Scandinavian Defense: Modern Variation,black,resign
2205,ppOEL6Nt,cheese220,1660,RO,1155.0,6,2,1,5,214,jaevis,1500,AU,6.0,0,3,1,4,169,rapid,Russian Game: Stafford Gambit,black,resign
2206,4rBX9YmJ,cheese220,1659,RO,1155.0,3,4,1,5,89,theam05,1647,US,948.0,2,4,2,1,56,rapid,Caro-Kann Defense: Maróczy Variation,black,mate
2207,oeOeZzVH,ankait,1628,BY,107.0,6,2,0,4,132,cheese220,1665,RO,1155.0,3,1,0,7,177,rapid,Nimzo-Indian Defense: Three Knights Variation,white,mate
2208,qzh9vWnx,cheese220,1705,RO,1155.0,6,3,2,7,163,david_177,1753,AM,62.0,8,3,4,5,141,rapid,King's Pawn,black,mate
2209,r4MsJxWk,yaroslavchernig,1577,UA,1640.0,4,2,2,1,69,cheese220,1685,RO,1155.0,3,1,0,2,34,rapid,Ruy Lopez: Morphy Defense,black,resign
2210,LFzLTSnY,silentsensei,1564,US,109.0,6,1,3,4,55,aiat777,1562,IR,883.0,4,3,5,4,74,rapid,"English Opening: King's English Variation, Reversed Sicilian",white,mate
2211,ppJX9xBT,gabi2018,1850,RO,53425.0,5,1,3,6,180,silentsensei,1369,US,611.0,1,3,5,7,209,bullet,Nimzo-Larsen Attack: Indian Variation,black,outoftime
2212,pxIfj7jD,silentsensei,1397,US,611.0,4,1,1,6,137,jeef9908,1336,GB,4366.0,6,0,1,6,91,bullet,"English Opening: King's English Variation, Reversed Closed Sicilian",black,resign
2213,iJCqWdZ4,tbajpai,2125,IN,12339.0,5,2,3,2,64,silentsensei,1451,US,327.0,3,5,1,1,38,blitz,Philidor Defense: Nimzowitsch Variation,black,outoftime
2214,NxaF9LhG,epencheva,1251,CA,3604.0,5,3,1,2,74,silentsensei,1288,US,327.0,1,2,1,2,52,blitz,Carr Defense,black,resign
2215,a48TtPLa,silentsensei,1544,US,109.0,3,1,2,0,47,knollmat,1436,DE,556.0,1,2,2,2,94,rapid,Indian Defense,white,mate
